source,name,lat,lng,DocNo
Turkish_teenager_dies_from_bird_flu,Dogu Beyazit,39.54,44.08,108
Turkish_teenager_dies_from_bird_flu,Britain,55,-3,108
Turkish_teenager_dies_from_bird_flu,Europe,51,17.5,108
World_Bank_warns_of_high_bird_flu_cost,Asia,29.84,89.29,109
World_Bank_warns_of_high_bird_flu_cost,Cambodia,13,105,109
World_Bank_warns_of_high_bird_flu_cost,Laos,18,105,109
World_Bank_warns_of_high_bird_flu_cost,Burma,22,96,109
World_Bank_warns_of_high_bird_flu_cost,Thailand,15.4,101.3,109
World_Bank_warns_of_high_bird_flu_cost,Vietnam,16.16,107.83,109
UN_warns_neighbours_of_Turkey_about_bird_flu,Turkey,39,35,110
UN_warns_neighbours_of_Turkey_about_bird_flu,Armenia,40,45,110
UN_warns_neighbours_of_Turkey_about_bird_flu,Azerbaijan,40.3,47.7,110
UN_warns_neighbours_of_Turkey_about_bird_flu,Georgia,42,43.5,110
UN_warns_neighbours_of_Turkey_about_bird_flu,Iraq,33,44,110
UN_warns_neighbours_of_Turkey_about_bird_flu,Iran,32,53,110
UN_warns_neighbours_of_Turkey_about_bird_flu,Syria,35,38,110
Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic,Rogaland,59,6,111
Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic,Vestfold,59.26,10.41,111
Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic,Buskerud,60.5,9.5,111
Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic,Telemark,59.33,8.5,111
Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic,Østfold,59.33,11.33,111
Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic,Akershus,60,11,111
Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic,Oslo,59.95,10.75,111
Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic,Hedmark,60.83,11.66,111
Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic,Oppland,61.11,10.46,111
Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic,Vest-Agder,58.58,7.58,111
Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic,Aust-Agder,58.56,8.56,111
Norway_takes_action_to_prevent_a_possible_bird_flu_epidemic,Russia,60,90,111
New_outbreak_of_H5N1_Avian_Flu_virus_reported_in_Poland,Poland,52,20,112
New_outbreak_of_H5N1_Avian_Flu_virus_reported_in_Poland,Orneta,54.11,20.13,112
New_outbreak_of_H5N1_Avian_Flu_virus_reported_in_Poland,Bieżuń,52.95,19.88,112
Bacterial_meningitis_possibly_spread_on_AirTran_flight,Atlanta,33.75,-84.39,113
Bacterial_meningitis_possibly_spread_on_AirTran_flight,Georgia,33,-83.5,113
Bacterial_meningitis_possibly_spread_on_AirTran_flight,Wichita,37.68,-97.33,113
Bacterial_meningitis_possibly_spread_on_AirTran_flight,Kansas,38.5,-98,113
Child_virus_outbreak_reaches_Beijing,China,35,103,114
Child_virus_outbreak_reaches_Beijing,Beijing,39.91,116.38,114
Child_virus_outbreak_reaches_Beijing,Hebei,39.3,116.7,114
Child_virus_outbreak_reaches_Beijing,Hubei,31.2,112.3,114
Child_virus_outbreak_reaches_Beijing,People's Republic of China,35,103,114
Child_virus_outbreak_reaches_Beijing,Anhui,31.83,117,114
Child_virus_outbreak_reaches_Beijing,Fuyang,32.9,115.81,114
Child_virus_outbreak_reaches_Beijing,Guangdong,23.4,113.5,114
Child_virus_outbreak_reaches_Beijing,Guangxi,23.6,108.3,114
Child_virus_outbreak_reaches_Beijing,Hainan,19.2,109.7,114
Child_virus_outbreak_reaches_Beijing,Hunan,27.4,111.8,114
Child_virus_outbreak_reaches_Beijing,Zhejiang,29.2,120.5,114
"Disease_scare_in_south_Sudan,_aid_groups_return",Warab,8,28.85,115
"Disease_scare_in_south_Sudan,_aid_groups_return",Sudan,15,32,115
"Disease_scare_in_south_Sudan,_aid_groups_return",Darfur,13,25,115
"Disease_scare_in_south_Sudan,_aid_groups_return",Abu Shok,13.95,31.08,115
"Disease_scare_in_south_Sudan,_aid_groups_return",Al-Fashir,13.63,25.35,115
"Disease_scare_in_south_Sudan,_aid_groups_return",Malakal,9.55,31.65,115
"Disease_scare_in_south_Sudan,_aid_groups_return",Khartoum,15.50,32.56,115
"Disease_scare_in_south_Sudan,_aid_groups_return",Nyala,12.05,24.88,115
"Disease_scare_in_south_Sudan,_aid_groups_return",South Darfur,11.51,25.03,115
International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia,Asia,29.84,89.29,116
International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia,Africa,7.18,21.09,116
International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia,Europe,51,17.5,116
International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia,United States,40,-100,116
International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia,Pailin,12.85,102.60,116
International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia,Cambodia,13,105,116
International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia,Attapeu,14.8,106.83,116
International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia,Laos,18,105,116
International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia,Binh Phuoc,11.75,106.91,116
International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia,Vietnam,16.16,107.83,116
International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia,Myanmar,22,96,116
International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia,Pingilikani,-3.78,39.78,116
International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia,Kenya,1,38,116
International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia,Kinshasa,-4.32,15.32,116
International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia,DR Congo,-2.88,23.65,116
International_team_of_scientists_studies_malaria_drug_resistance_in_Southeast_Asia,UK,55,-3,116
African_leaders_start_drive_to_eradicate_malaria,Dar es Salaam,-6.8,39.28,117
African_leaders_start_drive_to_eradicate_malaria,Tanzania,-6.30,34.85,117
African_leaders_start_drive_to_eradicate_malaria,Africa,7.18,21.09,117
African_leaders_start_drive_to_eradicate_malaria,US,40,-100,117
African_leaders_start_drive_to_eradicate_malaria,Zanzibar,-6.13,39.31,117
Asian_monsoon_rains_force_millions_to_flee,Asia,29.84,89.29,118
Asian_monsoon_rains_force_millions_to_flee,India,21,78,118
Asian_monsoon_rains_force_millions_to_flee,Nepal,28.16,84.25,118
Asian_monsoon_rains_force_millions_to_flee,Bangladesh,23.8,90.3,118
Asian_monsoon_rains_force_millions_to_flee,Bihar,25.37,85.13,118
Asian_monsoon_rains_force_millions_to_flee,Uttar Pradesh,26.85,80.91,118
Asian_monsoon_rains_force_millions_to_flee,Gondra,26.63,80.91,118
Asian_monsoon_rains_force_millions_to_flee,Indore,22.71,75.84,118
Plague_kills_scores_in_Democratic_Republic_of_Congo,Democratic Republic of the Congo,-2.88,23.65,119
Plague_kills_scores_in_Democratic_Republic_of_Congo,Ituri,1.83,29.5,119
Plague_kills_scores_in_Democratic_Republic_of_Congo,Orientale,2.5,27,119
Plague_kills_scores_in_Democratic_Republic_of_Congo,Congo,-2.88,23.65,119
Plague_kills_scores_in_Democratic_Republic_of_Congo,Kinshasa,-4.32,15.32,119
Poisoned_liquor_kills_17_in_Kenyan_slum,Kenya,1,38,120
Poisoned_liquor_kills_17_in_Kenyan_slum,Nairobi,-1.28,36.81,120
Poisoned_liquor_kills_17_in_Kenyan_slum,Kibera,-1.31,36.78,120
163_dead_after_lead_poisoning_in_Nigeria,Zamfara,12.16,6.25,121
163_dead_after_lead_poisoning_in_Nigeria,Nigeria,8,10,121
163_dead_after_lead_poisoning_in_Nigeria,US,40,-100,121
US_and_Vietnam_begin_talks_to_decontaminate_areas_affected_by_Agent_Orange,United States,40,-100,122
US_and_Vietnam_begin_talks_to_decontaminate_areas_affected_by_Agent_Orange,Hanoi,21.02,105.85,122
US_and_Vietnam_begin_talks_to_decontaminate_areas_affected_by_Agent_Orange,Vietnam,16.16,107.83,122
US_and_Vietnam_begin_talks_to_decontaminate_areas_affected_by_Agent_Orange,US,40,-100,122
US_and_Vietnam_begin_talks_to_decontaminate_areas_affected_by_Agent_Orange,Da Nang International Airport,16.04,108.19,122
US_and_Vietnam_begin_talks_to_decontaminate_areas_affected_by_Agent_Orange,Da Nang,16.06,108.23,122
M%C3%A9decins_Sans_Fronti%C3%A8res_warns_of_emerging_crisis_in_eastern_Chad,Africa,7.18,21.09,123
M%C3%A9decins_Sans_Fronti%C3%A8res_warns_of_emerging_crisis_in_eastern_Chad,Chad,15,19,123
M%C3%A9decins_Sans_Fronti%C3%A8res_warns_of_emerging_crisis_in_eastern_Chad,Sudan,15,32,123
M%C3%A9decins_Sans_Fronti%C3%A8res_warns_of_emerging_crisis_in_eastern_Chad,Darfur,13,25,123
M%C3%A9decins_Sans_Fronti%C3%A8res_warns_of_emerging_crisis_in_eastern_Chad,Goz Beida,12.22, 21.41,123
Kenyan_cattle_rustlers_kill_eleven,Kenya,1,38,124
Kenyan_cattle_rustlers_kill_eleven,Isiolo,0.35,37.58,124
Kenyan_cattle_rustlers_kill_eleven,Kisima,0.95,36.8,124
Kenyan_cattle_rustlers_kill_eleven,Pokot,1.75,35.25,124
Kenyan_cattle_rustlers_kill_eleven,Samburu,1.16,36.66,124
James_Brown_dies_of_pneumonia,Atlanta,33.75,-84.39,125
James_Brown_dies_of_pneumonia,New Jersey,40,-74.5,125
James_Brown_dies_of_pneumonia,New York,43,-75,125
Detained_journalist_Mohamed_Tamalt_dies_in_Algeria,Algeria,28,2,126
Detained_journalist_Mohamed_Tamalt_dies_in_Algeria,England,51.5,-0.11,126
Detained_journalist_Mohamed_Tamalt_dies_in_Algeria,London,51.50,-0.12,126
Detained_journalist_Mohamed_Tamalt_dies_in_Algeria,Algiers,36.75,3.05,126
Detained_journalist_Mohamed_Tamalt_dies_in_Algeria,Bab el-Oued,36.79,3.04,126
Detained_journalist_Mohamed_Tamalt_dies_in_Algeria,France,47,2,126
Whooping_cough_outbreak_kills_ten_infants_in_California,California,37,-120,127
Whooping_cough_outbreak_kills_ten_infants_in_California,United States,40,-100,127
Hepatitis_scare_at_New_Zealand_McDonald%27s_restaurant,Greenlane,-36.89,174.79,128
Hepatitis_scare_at_New_Zealand_McDonald%27s_restaurant,Auckland,-36.84,174.74,128
Hepatitis_scare_at_New_Zealand_McDonald%27s_restaurant,New Zealand,-42,174,128
British_troops_may_have_received_contaminated_blood_from_American_donors,Afghanistan,33,65,129
British_troops_may_have_received_contaminated_blood_from_American_donors,Iraq,33,44,129
British_troops_may_have_received_contaminated_blood_from_American_donors,U.S.,40,-100,129
Indiana_Governor_signs_needle_exchange_program,Indiana,40,-86,130
Indiana_Governor_signs_needle_exchange_program,Austin,38.74,-85.80,130
Indiana_Governor_signs_needle_exchange_program,Scott County,38.69,-85.74,130
Indiana_Governor_signs_needle_exchange_program,Evansville,37.97,-87.55,130
Indiana_Governor_signs_needle_exchange_program,Louisville,38.22,-85.74,130
Indiana_Governor_signs_needle_exchange_program,Kentucky,37.5,-85,130
Indiana_Governor_signs_needle_exchange_program,United States,40,-100,130
Indiana_Governor_signs_needle_exchange_program,Nashville,36.16,-86.78,130
Indiana_Governor_signs_needle_exchange_program,Tennessee,36,-86,130
"Looted,_possibly_contaminated_body_parts_transplanted_into_USA,_Canadian_patients",Marion,40.58,-83.12,131
"Looted,_possibly_contaminated_body_parts_transplanted_into_USA,_Canadian_patients",Ohio,40.5,-82.5,131
"Looted,_possibly_contaminated_body_parts_transplanted_into_USA,_Canadian_patients",United States,40,-100,131
"Looted,_possibly_contaminated_body_parts_transplanted_into_USA,_Canadian_patients",Canada,60,-95,131
"Looted,_possibly_contaminated_body_parts_transplanted_into_USA,_Canadian_patients",New Jersey,40,-74.5,131
"Looted,_possibly_contaminated_body_parts_transplanted_into_USA,_Canadian_patients",Brooklyn,40.69,-73.99,131
"Looted,_possibly_contaminated_body_parts_transplanted_into_USA,_Canadian_patients",New York,40.71,-74.00,131
Local_government_officials_confiscate_London_ice_cream_made_from_human_breast_milk_for_health_reasons,London,51.50,-0.12,132
Local_government_officials_confiscate_London_ice_cream_made_from_human_breast_milk_for_health_reasons,England,51.5,-0.11,132
Local_government_officials_confiscate_London_ice_cream_made_from_human_breast_milk_for_health_reasons,United Kingdom,55,-3,132
Local_government_officials_confiscate_London_ice_cream_made_from_human_breast_milk_for_health_reasons,Westminster,51.49,-0.13,132
Local_government_officials_confiscate_London_ice_cream_made_from_human_breast_milk_for_health_reasons,UK,55,-3,132
US_food_regulators_recall_380_million_eggs_after_salmonella_outbreak,United States,40,-100,133
US_food_regulators_recall_380_million_eggs_after_salmonella_outbreak,Colorado,39,-105.5,133
US_food_regulators_recall_380_million_eggs_after_salmonella_outbreak,California,37,-120,133
US_food_regulators_recall_380_million_eggs_after_salmonella_outbreak,Minnesota,46,-94,133
US_food_regulators_recall_380_million_eggs_after_salmonella_outbreak,Iowa,42,-93,133
Salmonella_outbreak_sickens_over_one_thousand_in_United_States,United States,40,-100,134
Salmonella_outbreak_sickens_over_one_thousand_in_United_States,Canada,60,-95,134
Salmonella_outbreak_sickens_over_one_thousand_in_United_States,Texas,31,-100,134
Salmonella_outbreak_sickens_over_one_thousand_in_United_States,New Mexico,34,-106,134
Salmonella_outbreak_sickens_over_one_thousand_in_United_States,Illinois,40,-89,134
Salmonella_outbreak_sickens_over_one_thousand_in_United_States,U.S.,40,-100,134
"US_salmonella_outbreak_linked_to_peanut_butter,_brand_recalls_product",U.S.,40,-100,135
"US_salmonella_outbreak_linked_to_peanut_butter,_brand_recalls_product",Minnesota,46,-94,135
"US_salmonella_outbreak_linked_to_peanut_butter,_brand_recalls_product",Solon,41.38,-81.45,135
"US_salmonella_outbreak_linked_to_peanut_butter,_brand_recalls_product",Lynchburg,37.40,-79.17,135
"US_salmonella_outbreak_linked_to_peanut_butter,_brand_recalls_product",Texas,31,-100,135
"US_salmonella_outbreak_linked_to_peanut_butter,_brand_recalls_product",Georgia,33,-83.5,135
FDA_warning_on_pistachios_after_salmonella_contamination,U.S.,40,-100,136
FDA_warning_on_pistachios_after_salmonella_contamination,United States,40,-100,136
FDA_warning_on_pistachios_after_salmonella_contamination,California,37,-120,136
FDA_warning_on_pistachios_after_salmonella_contamination,Alaska,64,-150,136
FDA_warning_on_pistachios_after_salmonella_contamination,Alabama,32.7,-86.7,136
FDA_warning_on_pistachios_after_salmonella_contamination,Arizona,34,-112,136
FDA_warning_on_pistachios_after_salmonella_contamination,Arkansas,34.8,-92.2,136
FDA_warning_on_pistachios_after_salmonella_contamination,Colorado,39,-105.5,136
FDA_warning_on_pistachios_after_salmonella_contamination,Georgia,33,-83.5,136
FDA_warning_on_pistachios_after_salmonella_contamination,Idaho,45,-114,136
FDA_warning_on_pistachios_after_salmonella_contamination,Illinois,40,-89,136
FDA_warning_on_pistachios_after_salmonella_contamination,Indiana,40,-86,136
FDA_warning_on_pistachios_after_salmonella_contamination,Kansas,38.5,-98,136
FDA_warning_on_pistachios_after_salmonella_contamination,Kentucky,37.5,-85,136
FDA_warning_on_pistachios_after_salmonella_contamination,Louisiana,31,-92,136
FDA_warning_on_pistachios_after_salmonella_contamination,Michigan,44,-85,136
FDA_warning_on_pistachios_after_salmonella_contamination,Missouri,38.5,-92.5,136
FDA_warning_on_pistachios_after_salmonella_contamination,Mississippi,33,-90,136
FDA_warning_on_pistachios_after_salmonella_contamination,Montana,47,-110,136
FDA_warning_on_pistachios_after_salmonella_contamination,Nebraska,41.5,-100,136
FDA_warning_on_pistachios_after_salmonella_contamination,Nevada,39,-117,136
FDA_warning_on_pistachios_after_salmonella_contamination,New Mexico,34,-106,136
FDA_warning_on_pistachios_after_salmonella_contamination,North Carolina,35.5,-80,136
FDA_warning_on_pistachios_after_salmonella_contamination,Ohio,40.5,-82.5,136
FDA_warning_on_pistachios_after_salmonella_contamination,Oregon,44,-120.5,136
FDA_warning_on_pistachios_after_salmonella_contamination,South Carolina,34,-81,136
FDA_warning_on_pistachios_after_salmonella_contamination,Tennessee,36,-86,136
FDA_warning_on_pistachios_after_salmonella_contamination,Texas,31,-100,136
FDA_warning_on_pistachios_after_salmonella_contamination,Utah,39,-111,136
FDA_warning_on_pistachios_after_salmonella_contamination,Virginia,37.5,-79,136
FDA_warning_on_pistachios_after_salmonella_contamination,Washington,47.5,-120.5,136
FDA_warning_on_pistachios_after_salmonella_contamination,West Virginia,39,-80.5,136
FDA_warning_on_pistachios_after_salmonella_contamination,Wyoming,43,-107.5,136
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,United States,40,-100,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Canada,60,-95,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Honduras,15,-86.5,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Arizona,34,-112,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,California,37,-120,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Colorado,39,-105.5,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Georgia,33,-83.5,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Illinois,40,-89,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Missouri,38.5,-92.5,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,New Jersey,40,-74.5,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,New Mexico,34,-106,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,New York,43,-75,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Ohio,40.5,-82.5,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Oklahoma,35.5,-98,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Oregon,44,-120.5,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Tennessee,36,-86,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Utah,39,-111,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Washington,47.5,-120.5,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Wisconsin,44.5,-89.5,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,British Columbia,54,-125,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Alberta,55,-115,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Manitoba,55,-97,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,Ontario,50,-85,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,New Brunswick,46,-66,137
FDA_warning_on_Honduran_cantaloupes_after_salmonella_outbreaks,U.S.,40,-100,137
California_company_recalls_fresh_spinach_over_salmonella_contamination,California,37,-120,138
California_company_recalls_fresh_spinach_over_salmonella_contamination,United States,40,-100,138
California_company_recalls_fresh_spinach_over_salmonella_contamination,Canada,60,-95,138
"Post-probe,_problematic_peanut_paste_products_pulled",United States,40,-100,139
"Post-probe,_problematic_peanut_paste_products_pulled",Blakely,31.37,-84.93,139
"Post-probe,_problematic_peanut_paste_products_pulled",Georgia,33,-83.5,139
"Post-probe,_problematic_peanut_paste_products_pulled",U.S.,40,-100,139
"Post-probe,_problematic_peanut_paste_products_pulled",USA,40,-100,139
"Post-probe,_problematic_peanut_paste_products_pulled",Roanoke,37.26,-79.93,139
"Post-probe,_problematic_peanut_paste_products_pulled",Virginia,37.5,-79,139
Triathletes_from_Belgium_and_Luxembourg_compete_in_championship_race,Weiswampach,50.13,6.06,140
Triathletes_from_Belgium_and_Luxembourg_compete_in_championship_race,Luxembourg,49.75,6.16,140
Triathletes_from_Belgium_and_Luxembourg_compete_in_championship_race,Belgium,50.83,4,140
Triathletes_from_Belgium_and_Luxembourg_compete_in_championship_race,Vilvoorde,50.93,4.41,140
Triathletes_from_Belgium_and_Luxembourg_compete_in_championship_race,Netherlands,52.31,5.55,140
Triathletes_from_Belgium_and_Luxembourg_compete_in_championship_race,New Zealand,-42,174,140
South_African_typhoid_outbreak_protest_dispersed_with_rubber_bullets,Delmas,-26.15,28.68,141
South_African_typhoid_outbreak_protest_dispersed_with_rubber_bullets,South Africa,-30,25,141
South_African_typhoid_outbreak_protest_dispersed_with_rubber_bullets,Johannesburg,-26.20,28.04,141
Auckland_Zoo_otter_Jin_has_been_found_alive,Auckland,-36.84,174.74,142
Auckland_Zoo_otter_Jin_has_been_found_alive,New Zealand,-42,174,142
Auckland_Zoo_otter_Jin_has_been_found_alive,Islington Bay,-39.98,176.5,142
Auckland_Zoo_otter_Jin_has_been_found_alive,Rangitoto,-36.78,174.86,142
Auckland_Zoo_otter_Jin_has_been_found_alive,Motutapu,-36.75,174.91,142
"E._coli_outbreak_kills_1,_sickens_nearly_100",Wisconsin,44.5,-89.5,143
"E._coli_outbreak_kills_1,_sickens_nearly_100",Michigan,44,-85,143
"E._coli_outbreak_kills_1,_sickens_nearly_100",Oregon,44,-120.5,143
"E._coli_outbreak_kills_1,_sickens_nearly_100",New Mexico,34,-106,143
"E._coli_outbreak_kills_1,_sickens_nearly_100",New York,43,-75,143
"E._coli_outbreak_kills_1,_sickens_nearly_100",Indiana,40,-86,143
"E._coli_outbreak_kills_1,_sickens_nearly_100",Ohio,40.5,-82.5,143
"E._coli_outbreak_kills_1,_sickens_nearly_100",Idaho,45,-114,143
"E._coli_outbreak_kills_1,_sickens_nearly_100",Connecticut,41.6,-72.7,143
"E._coli_outbreak_kills_1,_sickens_nearly_100",Kentucky,37.5,-85,143
"E._coli_outbreak_kills_1,_sickens_nearly_100",Utah,39,-111,143
"E._coli_outbreak_kills_1,_sickens_nearly_100",Washington,47.5,-120.5,143
"E._coli_outbreak_kills_1,_sickens_nearly_100",Pennsylvania,41,-77.5,143
"E._coli_outbreak_kills_1,_sickens_nearly_100",California,37,-120,143
"E._coli_outbreak_kills_1,_sickens_nearly_100",U.S.,40,-100,143
"E._coli_outbreak_kills_1,_sickens_nearly_100",San Juan Bautista,36.84,-121.53,143
Recent_American_E._coli_outbreak_linked_to_cattle,United States,40,-100,144
Recent_American_E._coli_outbreak_linked_to_cattle,Canada,60,-95,144
Recent_American_E._coli_outbreak_linked_to_cattle,Salinas Valley,36.20,-121.12,144
Recent_American_E._coli_outbreak_linked_to_cattle,California,37,-120,144
Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores,U.S.,40,-100,145
Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores,New York City,40.71,-74.00,145
Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores,Long Island,40.8,-73.3,145
Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores,New York,43,-75,145
Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores,Pennsylvania,41,-77.5,145
Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores,New Jersey,40,-74.5,145
Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores,Canada,60,-95,145
Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores,Irvine,33.66,-117.82,145
Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores,California,37,-120,145
Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores,USA,40,-100,145
Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores,Texas,31,-100,145
Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores,Irwindale,34.11,-117.96,145
Taco_Bell_pulls_green_onions_from_all_U.S._and_Canadian_stores,Oxnard,34.19,-119.18,145
"%27Explosive%27_Haitian_cholera_outbreak_kills_292,_neighboring_countries_prepare",Port-au-Prince,18.53,-72.33,146
"%27Explosive%27_Haitian_cholera_outbreak_kills_292,_neighboring_countries_prepare",Dominican Republic,19,-70.66,146
"%27Explosive%27_Haitian_cholera_outbreak_kills_292,_neighboring_countries_prepare",Jamaica,18,-77,146
"%27Explosive%27_Haitian_cholera_outbreak_kills_292,_neighboring_countries_prepare",Haiti,19,-72.41,146
India_struggles_with_encephalitis_outbreak,India,21,78,147
India_struggles_with_encephalitis_outbreak,Uttar Pradesh,26.85,80.91,147
India_struggles_with_encephalitis_outbreak,Nepal,28.16,84.25,147
Source_of_UK_foot-and-mouth_outbreak_discovered,Surrey,51.25,-0.41,148
Source_of_UK_foot-and-mouth_outbreak_discovered,UK,55,-3,148
Source_of_UK_foot-and-mouth_outbreak_discovered,Pirbright,51.28,-0.63,148
Ebola_outbreak_in_Congo,Republic of Congo,-1.44,15.55,149
Ebola_outbreak_in_Congo,Cuvette-Ouest,-0.86,14.81,149
Ebola_outbreak_in_Congo,Gabon,-1,12,149
Ebola_outbreak_in_Congo,Congo,-1.44,15.55,149
Ebola_outbreak_in_Congo,Etoumbi,0.01,14.9,149
Ebola_outbreak_in_Congo,Mbomo,-0.99,15.79,149
Ebola_outbreak_in_Congo,Uganda,1,32,149
Ebola_outbreak_in_Congo,Zaire,-2.88,23.65,149
Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit,Toronto,43.7,-79.4,150
Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit,Canada,60,-95,150
Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit,Ontario,50,-85,150
Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit,Buffalo,42.90,-78.84,150
Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit,New York,43,-75,150
Bacterial_outbreak_forces_closure_of_Toronto_hospital_neo-natal_unit,United States,40,-100,150
WHO_investigates_outbreak_of_unidentified_illness_in_Democratic_Republic_of_the_Congo,Democratic Republic of the Congo,-1.44,15.55,151
WHO_investigates_outbreak_of_unidentified_illness_in_Democratic_Republic_of_the_Congo,DRC,-1.44,15.55,151
WHO_investigates_outbreak_of_unidentified_illness_in_Democratic_Republic_of_the_Congo,Kasai Occidental,-5.9,22.45,151
WHO_investigates_outbreak_of_unidentified_illness_in_Democratic_Republic_of_the_Congo,Kampungu,-5.21,21.42,151
WHO_investigates_outbreak_of_unidentified_illness_in_Democratic_Republic_of_the_Congo,Kaluamba,-9.24,25.09,151
WHO_investigates_outbreak_of_unidentified_illness_in_Democratic_Republic_of_the_Congo,Mombo,-5.16,21.35,151
International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs,Philippines,13,122,152
International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs,Manila,14.58,121,152
International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs,U.S.,40,-100,152
International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs,Pandi,14.87,120.95,152
International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs,Bulacan,15,121.08,152
International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs,Talavera,15.58,120.91,152
International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs,Manaoag,16.04,120.48,152
International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs,Pangasinan,15.92,120.33,152
International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs,NY,43,-75,152
International_experts_probe_deadly_Ebola_Reston_virus_outbreak_in_Philippine_pigs,Plum Island,41.18,-72.19,152
